filename	is_connected	largest_cc_nodes	total_nodes	largest_cc_ratio
163164.npz	False	54	172	0.313953488372093
164757.npz	False	1091	1368	0.797514619883041
166314.npz	False	75	278	0.2697841726618705
167539.npz	False	357	549	0.6502732240437158
167542.npz	False	203	368	0.5516304347826086
167546.npz	False	397	549	0.7231329690346083
167555.npz	False	403	564	0.7145390070921985
167879.npz	False	740	949	0.779768177028451
169963.npz	False	187	392	0.4770408163265306
170187.npz	False	442	816	0.5416666666666666
171101.npz	False	379	558	0.6792114695340502
176279.npz	False	535	709	0.7545839210155149
176280.npz	False	481	684	0.7032163742690059
176299.npz	False	988	1422	0.6947960618846695
177416.npz	False	59	261	0.2260536398467433
177437.npz	False	719	1071	0.6713352007469654
177439.npz	False	532	750	0.7093333333333334
178306.npz	False	333	464	0.7176724137931034
180281.npz	False	217	410	0.5292682926829269
182082.npz	False	139	245	0.5673469387755102
184922.npz	False	53	238	0.22268907563025211
186497.npz	False	342	499	0.685370741482966
187272.npz	False	656	815	0.8049079754601227
187410.npz	False	81	535	0.15140186915887852
187420.npz	False	52	296	0.17567567567567569
188626.npz	False	97	357	0.27170868347338933
188937.npz	False	90	577	0.1559792027729636
189518.npz	False	459	629	0.7297297297297297
190192.npz	False	278	383	0.7258485639686684
190304.npz	False	353	537	0.6573556797020484
190485.npz	False	849	1047	0.8108882521489972
190486.npz	False	816	1047	0.7793696275071633
190650.npz	False	679	930	0.7301075268817204
192222.npz	False	1034	1073	0.9636533084808947
192952.npz	False	481	693	0.6940836940836941
194439.npz	False	419	590	0.7101694915254237
195103.npz	False	466	643	0.7247278382581649
196162.npz	False	953	1178	0.8089983022071308
196164.npz	False	569	749	0.7596795727636849
196627.npz	False	216	519	0.4161849710982659
197221.npz	False	490	700	0.7
198094.npz	False	804	1116	0.7204301075268817
198214.npz	False	948	1230	0.7707317073170732
198628.npz	False	1048	1361	0.7700220426157237
198804.npz	False	24	150	0.16
199310.npz	False	1210	1521	0.7955292570677186
203119.npz	False	449	649	0.6918335901386748
203120.npz	False	403	599	0.672787979966611
203122.npz	False	611	771	0.7924773022049286
203123.npz	False	262	439	0.5968109339407744
203124.npz	False	564	791	0.7130214917825537
203267.npz	False	63	191	0.3298429319371728
203275.npz	False	374	467	0.8008565310492506
203907.npz	False	234	287	0.8153310104529616
204536.npz	False	373	487	0.7659137577002053
204669.npz	False	248	604	0.4105960264900662
204773.npz	False	717	871	0.8231917336394948
205914.npz	False	431	586	0.735494880546075
205918.npz	False	956	1316	0.7264437689969605
205920.npz	False	194	276	0.7028985507246377
205922.npz	False	409	821	0.4981729598051157
206672.npz	False	319	424	0.7523584905660378
207559.npz	False	519	802	0.6471321695760599
207949.npz	False	248	444	0.5585585585585585
207954.npz	False	159	469	0.3390191897654584
